ID,mastercode,Code,Plot,Subplot,Stratum,Forest,Trunk perimenter (cm),tree ID,Notes-Trunk,Lianas,deadwood .,deadwood%,Bait/Bamboo Height(m)
488,NP5-S1-A4-UN,NP5-S1-A4,NP5-S1,A4,UN,Numba Primary,21,T488,,1,0,5,1.5
489,NP5-S1-B1-CA,NP5-S1-B1,NP5-S1,B1,CA,Numba Primary,233,T481,same as A1 CA,10,2,5,28
490,NP5-S1-B2-CA,NP5-S1-B2,NP5-S1,B2,CA,Numba Primary,257,T482,same as A2 CA,6,2,5,22
491,NP5-S1-B3-CA,NP5-S1-B3,NP5-S1,B3,CA,Numba Primary,68,T491,,0,2,5,19
492,NP5-S1-B4-CA,NP5-S1-B4,NP5-S1,B4,CA,Numba Primary,96,T492,,3,0,5,17
493,NP5-S1-B1-UN,NP5-S1-B1,NP5-S1,B1,UN,Numba Primary,28,T493,,2,0,5,1.5
494,NP5-S1-B2-UN,NP5-S1-B2,NP5-S1,B2,UN,Numba Primary,13,T494,,0,0,5,1.5
495,NP5-S1-B3-UN,NP5-S1-B3,NP5-S1,B3,UN,Numba Primary,48,T495,,4,0,5,1.5
496,NP5-S1-B4-UN,NP5-S1-B4,NP5-S1,B4,UN,Numba Primary,26,T496,,1,0,5,1.5
497,NP5-S1-C1-CA,NP5-S1-C1,NP5-S1,C1,CA,Numba Primary,1180,T612,"outside plot, big fig: same as NP5-S5-A4 CA",>20,4,10,25
498,NP5-S1-C2-CA,NP5-S1-C2,NP5-S1,C2,CA,Numba Primary,62,T498,,1,1,5,16
499,NP5-S1-C3-CA,NP5-S1-C3,NP5-S1,C3,CA,Numba Primary,414,T499,,0,4,5,30
500,NP5-S1-C4-CA,NP5-S1-C4,NP5-S1,C4,CA,Numba Primary,94,T500,,1,8,40,19
501,NP5-S1-C1-UN,NP5-S1-C1,NP5-S1,C1,UN,Numba Primary,21,T501,,1,2,10,1.5
502,NP5-S1-C2-UN,NP5-S1-C2,NP5-S1,C2,UN,Numba Primary,62,T502,,1,7,30,1.5
503,NP5-S1-C3-UN,NP5-S1-C3,NP5-S1,C3,UN,Numba Primary,94,T503,,1,8,40,1.5
504,NP5-S1-C4-UN,NP5-S1-C4,NP5-S1,C4,UN,Numba Primary,10,T504,,0,0,5,1.5
505,NP5-S1-D1-CA,NP5-S1-D1,NP5-S1,D1,CA,Numba Primary,138,T505,,>20,2,10,21
506,NP5-S1-D2-CA,NP5-S1-D2,NP5-S1,D2,CA,Numba Primary,414,T506,,>20,4,5,28
507,NP5-S1-D3-CA,NP5-S1-D3,NP5-S1,D3,CA,Numba Primary,180,T507,,>20,4,10,22
508,NP5-S1-D4-CA,NP5-S1-D4,NP5-S1,D4,CA,Numba Primary,155,T577,same as NP5-S4-A1 CA,0,0,5,29
509,NP5-S1-D1-UN,NP5-S1-D1,NP5-S1,D1,UN,Numba Primary,21,T509,,2,2,5,1.5
510,NP5-S1-D2-UN,NP5-S1-D2,NP5-S1,D2,UN,Numba Primary,46,T510,,2,1,5,1.5
511,NP5-S1-D3-UN,NP5-S1-D3,NP5-S1,D3,UN,Numba Primary,35,T511,,2,2,30,1.5
512,NP5-S1-D4-UN,NP5-S1-D4,NP5-S1,D4,UN,Numba Primary,21,T512,,1,0,5,1.5
513,NP5-S2-A1-CA,NP5-S2-A1,NP5-S2,A1,CA,Numba Primary,66,T513,same as A1 UN,1,0,5,15
514,NP5-S2-A2-CA,NP5-S2-A2,NP5-S2,A2,CA,Numba Primary,52,T518,same as A2 UN,3,1,5,11
515,NP5-S2-A3-CA,NP5-S2-A3,NP5-S2,A3,CA,Numba Primary,62,T523,same as B3 CA,0,0,5,19
516,NP5-S2-A4-CA,NP5-S2-A4,NP5-S2,A4,CA,Numba Primary,45,T516,,3,0,5,11
517,NP5-S2-A1-UN,NP5-S2-A1,NP5-S2,A1,UN,Numba Primary,66,T513,same as A1 CA,3,0,5,1.5
518,NP5-S2-A2-UN,NP5-S2-A2,NP5-S2,A2,UN,Numba Primary,52,T518,same as A2 CA,3,1,5,1.5
519,NP5-S2-A3-UN,NP5-S2-A3,NP5-S2,A3,UN,Numba Primary,45,T519,,3,0,5,1.5
520,NP5-S2-A4-UN,NP5-S2-A4,NP5-S2,A4,UN,Numba Primary,11,T520,,1,1,10,1.5
521,NP5-S2-B1-CA,NP5-S2-B1,NP5-S2,B1,CA,Numba Primary,49,T521,,1,0,5,13
522,NP5-S2-B2-CA,NP5-S2-B2,NP5-S2,B2,CA,Numba Primary,204,T522,,0,1,5,24
523,NP5-S2-B3-CA,NP5-S2-B3,NP5-S2,B3,CA,Numba Primary,62,T523,same as A3 CA,0,0,5,11
524,NP5-S2-B4-CA,NP5-S2-B4,NP5-S2,B4,CA,Numba Primary,42,T527,same as B3 UN,1,5,0,12
525,NP5-S2-B1-UN,NP5-S2-B1,NP5-S2,B1,UN,Numba Primary,36,T525,,3,0,5,1.5
526,NP5-S2-B2-UN,NP5-S2-B2,NP5-S2,B2,UN,Numba Primary,14,T526,,0,0,5,1.5
527,NP5-S2-B3-UN,NP5-S2-B3,NP5-S2,B3,UN,Numba Primary,42,T527,same as B4 CA,1,0,5,1.5
528,NP5-S2-B4-UN,NP5-S2-B4,NP5-S2,B4,UN,Numba Primary,36,T528,,1,2,20,1.5
529,NP5-S2-C1-CA,NP5-S2-C1,NP5-S2,C1,CA,Numba Primary,197,T529,,8,3,5,20
530,NP5-S2-C2-CA,NP5-S2-C2,NP5-S2,C2,CA,Numba Primary,197,T530,,8,3,5,15
531,NP5-S2-C3-CA,NP5-S2-C3,NP5-S2,C3,CA,Numba Primary,42,T527,same as C1 CA,1,0,5,15
532,NP5-S2-C4-CA,NP5-S2-C4,NP5-S2,C4,CA,Numba Primary,60,T532,same as C3 UN,0,3,20,21
533,NP5-S2-C1-UN,NP5-S2-C1,NP5-S2,C1,UN,Numba Primary,29,T533,,1,0,5,1.5
534,NP5-S2-C2-UN,NP5-S2-C2,NP5-S2,C2,UN,Numba Primary,36,T534,,1,0,5,1.5
535,NP5-S2-C3-UN,NP5-S2-C3,NP5-S2,C3,UN,Numba Primary,42,T532,same as C3 CA,1,0,5,1.5
536,NP5-S2-C4-UN,NP5-S2-C4,NP5-S2,C4,UN,Numba Primary,25,T536,,1,1,10,1.5
537,NP5-S2-D1-CA,NP5-S2-D1,NP5-S2,D1,CA,Numba Primary,156,T537,,1,0,5,27
538,NP5-S2-D2-CA,NP5-S2-D2,NP5-S2,D2,CA,Numba Primary,63,T538,,1,0,5,20
539,NP5-S2-D3-CA,NP5-S2-D3,NP5-S2,D3,CA,Numba Primary,38,T539,same as D3 UN; multiple stems 26+15+38,1,1,5,16
540,NP5-S2-D4-CA,NP5-S2-D4,NP5-S2,D4,CA,Numba Primary,132,T540,,4,1,5,22
541,NP5-S2-D1-UN,NP5-S2-D1,NP5-S2,D1,UN,Numba Primary,20,T541,,1,0,5,1.5
542,NP5-S2-D2-UN,NP5-S2-D2,NP5-S2,D2,UN,Numba Primary,16,T542,,0,0,5,1.5
543,NP5-S2-D3-UN,NP5-S2-D3,NP5-S2,D3,UN,Numba Primary,38,T539,same as D3 CA,1,1,5,1.5
544,NP5-S2-D4-UN,NP5-S2-D4,NP5-S2,D4,UN,Numba Primary,40,T544,,1,1,10,1.5
545,NP5-S3-A1-CA,NP5-S3-A1,NP5-S3,A1,CA,Numba Primary,68,T580,same as NP5-S4-A3 CA,4,1,30,11
546,NP5-S3-A2-CA,NP5-S3-A2,NP5-S3,A2,CA,Numba Primary,180,T546,same as B2 CA,2,1,5,26
547,NP5-S3-A3-CA,NP5-S3-A3,NP5-S3,A3,CA,Numba Primary,242,T547,same as A4 CA,1,0,5,25
548,NP5-S3-A4-CA,NP5-S3-A4,NP5-S3,A4,CA,Numba Primary,242,T547,same as A3 CA,1,0,5,22
549,NP5-S3-A1-UN,NP5-S3-A1,NP5-S3,A1,UN,Numba Primary,14,T549,,1,1,30,1.5
550,NP5-S3-A2-UN,NP5-S3-A2,NP5-S3,A2,UN,Numba Primary,21,T550,,4,0,5,1.5
551,NP5-S3-A3-UN,NP5-S3-A3,NP5-S3,A3,UN,Numba Primary,38,T551,,1,0,5,1.5
552,NP5-S3-A4-UN,NP5-S3-A4,NP5-S3,A4,UN,Numba Primary,40,T552,,1,0,5,1.5
